"","principal_eigenvalue","asymmetry","peakedness","eigengap.modalities","Summary_tree","Model"
"132",1781.49150695203,1.01053298193441,2.54238248668793,128,"MRC","Population Null"
"133",9130.9198355943,-0.0268708412820031,2.02426761883968,1,"MCC","Null"
"134",6635.854743188,-0.189828756277769,1.94954483047622,456,"MRC","Null"
"135",9089.83021214423,0.270347205577754,4.13758041703432,406,"MCC","Population Null"
"136",1792.84340061364,1.00198852841167,2.55232828504267,129,"MRC","Population Null"
"137",9121.76308605908,-0.0288126225056633,2.03776054021909,457,"MCC","Null"
"138",6638.7270013877,-0.182972886884753,1.93059410088221,1,"MRC","Null"
"139",9084.73508745102,0.269668510610742,4.14356517263953,406,"MCC","Population Null"
"140",1773.16812513443,1.00747535257901,2.54569484754471,128,"MRC","Population Null"
"141",9041.88525658068,-0.0303520023167854,2.02164736551129,457,"MCC","Null"
"142",6626.90153818806,-0.183121223851629,1.93103985182752,456,"MRC","Null"
"143",9084.29242447687,0.269710067282843,4.1502598204646,406,"MCC","Population Null"
"144",1779.61825964922,1.01056389155876,2.5417317375217,128,"MRC","Population Null"
"145",9215.25802515338,-0.0269768812862131,2.01174133195544,1,"MCC","Null"
"146",6599.04689602347,-0.208192175505365,1.97173668832805,1,"MRC","Null"
"147",9081.82401782398,0.269206119066882,4.14541477522732,406,"MCC","Population Null"
"148",1789.71061113724,1.00197085960049,2.5526734078008,129,"MRC","Population Null"
"149",9134.13027742287,-0.0290645350188852,2.02584201529908,1,"MCC","Null"
"150",6717.31594812166,-0.166189093623947,1.89853120507948,2,"MRC","Null"
"151",9085.82757869039,0.269777819722029,4.1506746025964,406,"MCC","Population Null"
"152",1774.97916835338,1.00758130950054,2.5462152340956,128,"MRC","Population Null"
"153",8982.33420388519,-0.0334134175465732,2.04550276568065,457,"MCC","Null"
"154",6664.43887823587,-0.187893936062378,1.94513569966461,1,"MRC","Null"
"155",9086.14848589118,0.270572778717151,4.17041089844572,1,"MCC","Population Null"
"156",1777.07343775873,1.01026945897567,2.54116474988544,128,"MRC","Population Null"
"157",8996.34291461321,-0.0286546249026375,2.01734922370813,1,"MCC","Null"
"158",6601.30996494146,-0.195753283648205,1.9399250938423,456,"MRC","Null"
"159",9083.00650155199,0.270724040078748,4.15938946604215,1,"MCC","Population Null"
"160",1773.26670055468,1.00735250362618,2.5466886806024,128,"MRC","Population Null"
"161",9050.8722179181,-0.0292489035589143,2.03574927299468,457,"MCC","Null"
"162",6605.24163642681,-0.199232902942748,1.95659795182544,1,"MRC","Null"
"163",9083.76813399738,0.270303862760863,4.15068410177781,406,"MCC","Population Null"
"164",1776.58650178095,1.00726536919758,2.5459191744335,128,"MRC","Population Null"
"165",9048.51178562118,-0.028993911850574,2.02718423415659,1,"MCC","Null"
"166",6591.06985395302,-0.206343065339465,1.97979598521066,1,"MRC","Null"
"167",9083.40262560838,0.269933978931461,4.15365942194672,406,"MCC","Population Null"
"168",1774.13341534006,1.00739298879646,2.54554541236469,128,"MRC","Population Null"
"169",9066.0955170549,-0.0286667803319603,2.01980795439468,1,"MCC","Null"
"170",6664.32045091924,-0.190000804595011,1.93453042203436,1,"MRC","Null"
"171",9080.67347318069,0.269191886754477,4.14020619252701,406,"MCC","Population Null"
"172",1780.73729697015,1.01052360073561,2.54251824460664,128,"MRC","Population Null"
"173",9075.28065654771,-0.0282312926243672,2.02832130601697,1,"MCC","Null"
"174",6677.45903358881,-0.183236880662322,1.93937933572651,1,"MRC","Null"
"175",9085.72564652578,0.269510557452338,4.15257368819524,1,"MCC","Population Null"
"176",1777.25031447317,1.00724161040175,2.5454265870415,128,"MRC","Population Null"
"177",9074.36102307217,-0.0305983776396748,2.0351274685628,1,"MCC","Null"
"178",6655.52027209549,-0.185729792668155,1.92892738667015,1,"MRC","Null"
"179",9083.95689226478,0.270397954338221,4.16855992401103,1,"MCC","Population Null"
"180",1777.94195021725,1.01033417157464,2.54128945366771,128,"MRC","Population Null"
"181",9057.12752742773,-0.029999009740676,2.03484263519909,457,"MCC","Null"
"182",6598.45522343095,-0.19705801690009,1.93622238460021,456,"MRC","Null"
"183",9085.12526672929,0.269756049261795,4.15082981549553,1,"MCC","Population Null"
"184",1775.58114632602,1.00710759821077,2.54643248359045,128,"MRC","Population Null"
"185",8995.6538592331,-0.0295237621371769,2.03299708681171,1,"MCC","Null"
"186",6632.42614770017,-0.197436606705749,1.93888265627329,1,"MRC","Null"
"187",9081.5624251785,0.269569190918244,4.15022612716783,406,"MCC","Population Null"
"188",1778.23359937775,1.01051780219314,2.5414997565996,128,"MRC","Population Null"
"189",9052.94778213444,-0.0290974544181741,2.02184307995234,1,"MCC","Null"
"190",6602.27321456468,-0.201422407151986,1.94716141282233,1,"MRC","Null"
"191",9084.88564818022,0.26968483060355,4.14561696287808,406,"MCC","Population Null"
"192",1779.1405439922,1.01038708686225,2.5411472581038,128,"MRC","Population Null"
"193",9150.92014573212,-0.0276332581409148,2.02137555222805,1,"MCC","Null"
"194",6683.20529784827,-0.18275456684328,1.93880778731928,2,"MRC","Null"
"195",9084.17491755861,0.269862349715947,4.15649591486418,1,"MCC","Population Null"
"196",1787.3031595475,1.00208026380717,2.55223218111587,129,"MRC","Population Null"
"197",9114.99447516095,-0.0294074559039794,2.03179796724857,1,"MCC","Null"
"198",6621.29867624081,-0.193701911203044,1.95670874351721,456,"MRC","Null"
"199",9084.96634911139,0.269781493723159,4.1647080158968,1,"MCC","Population Null"
"200",1780.52386252521,1.01007208637839,2.54088765347691,128,"MRC","Population Null"
"201",9103.90370115156,-0.0309700197612955,2.03367104622677,1,"MCC","Null"
"202",6658.11191113109,-0.188506712116325,1.94257222930149,1,"MRC","Null"
"203",9084.56310913144,0.270323061688257,4.16159628031532,1,"MCC","Population Null"
"204",1780.47713189644,1.0101773111834,2.54152106480624,128,"MRC","Population Null"
"205",9196.49968261715,-0.0287953271388289,2.01308323751122,1,"MCC","Null"
"206",6613.81966986968,-0.194605633185925,1.94617158258301,1,"MRC","Null"
"207",9082.02687140838,0.270423470987031,4.14894174880821,406,"MCC","Population Null"
"208",1771.23918347547,1.0042884663978,2.55076794083914,128,"MRC","Population Null"
"209",9034.90373442895,-0.0299336364896684,2.02686660677379,1,"MCC","Null"
"210",6645.09957089297,-0.18991313170645,1.93571520157209,1,"MRC","Null"
"211",9085.98332387553,0.270168611350559,4.16269466837827,1,"MCC","Population Null"
"212",1781.61183159842,1.01034589273299,2.54194420385346,128,"MRC","Population Null"
"213",8995.89458223978,-0.0329835382692601,2.03749961981959,2,"MCC","Null"
"214",6661.37449091814,-0.188587531955355,1.94303990493738,2,"MRC","Null"
"215",9085.50918901757,0.269984873099779,4.13729321721316,406,"MCC","Population Null"
"216",1790.70577764841,1.00230207385518,2.55276278241471,129,"MRC","Population Null"
"217",9011.64406502422,-0.0284991550263663,2.02999397818995,457,"MCC","Null"
"218",6630.37189963227,-0.194905794305621,1.95143818829268,1,"MRC","Null"
"219",9084.31722377773,0.270214272834566,4.14027138319347,406,"MCC","Population Null"
"220",1770.00165356714,1.00416759556721,2.5504348850295,128,"MRC","Population Null"
"221",9016.76249201271,-0.0293110536613621,2.02915922778956,1,"MCC","Null"
"222",6627.53161105343,-0.191881731282574,1.95190375729567,456,"MRC","Null"
"223",9083.64803406359,0.270155468229424,4.17131167568267,1,"MCC","Population Null"
"224",1780.76202268395,1.01037511521607,2.54173900881929,128,"MRC","Population Null"
"225",9017.89538991226,-0.0300311513347778,2.02217319967628,1,"MCC","Null"
"226",6678.79981733835,-0.180485978661061,1.92291975412938,2,"MRC","Null"
"227",9081.14735493113,0.268909729807012,4.12593081123567,406,"MCC","Population Null"
"228",1780.37456639713,1.01058437237134,2.54146291844638,128,"MRC","Population Null"
"229",9077.4682719685,-0.0266219352307238,2.02751004402727,1,"MCC","Null"
"230",6615.3341286568,-0.1952966236812,1.93855869456049,456,"MRC","Null"
"231",9081.51910415158,0.269603359575765,4.14955181231111,406,"MCC","Population Null"
"232",1769.94800449296,1.00409171702589,2.55019565433054,128,"MRC","Population Null"
"233",9002.27693373128,-0.0293648175156764,2.02907747627286,1,"MCC","Null"
"234",6625.03904844774,-0.200928109717116,1.95501744177947,1,"MRC","Null"
